code,name,sector,price,entry_price,stop_loss,take_profit,status
1605,華新麗華股份有限公司,電器電纜,38.1,38.1,36.2,41.91,投信5日+646張 | 外資5日+-5966張
2605,新興航運股份有限公司,航運業,36.5,36.5,34.67,40.15,投信5日+-7張 | 外資5日+1768張
4967,十銓科技股份有限公司,半導體業,280.5,280.5,266.47,308.55,投信5日+244張 | 外資5日+493張
6770,力晶積成電子製造股份有限公司,半導體業,72.4,72.4,68.78,79.64,投信5日+7364張 | 外資5日+-1020張
